lift_from_version	lift_from_node	lift_from_property	lift_to_version	lift_to_node	lift_to_property
1.7.2	study	acl	1.8.0	study	acl
1.7.2	study	consent	1.8.0	study	consent
1.7.2	study	consent_number	1.8.0	study	consent_number
1.7.2	study	experimental_strategy_and_data_subtype	1.8.0	study	experimental_strategy_and_data_subtype
1.7.2	study	external_url	1.8.0	study	external_url
1.7.2	study	id	1.8.0	study	id
1.7.2	study	phs_accession	1.8.0	study	dbgap_accession
1.7.2	study	size_of_data_being_uploaded	1.8.0	study	size_of_data_being_uploaded
1.7.2	study	study_acronym	1.8.0	study	study_acronym
1.7.2	study	study_data_types	1.8.0	study	study_data_types
1.7.2	study	study_description	1.8.0	study	study_description
1.7.2	study	study_id	1.8.0	study	study_id
1.7.2	study	study_name	1.8.0	study	study_name
1.7.2	study	study_short_title			
1.7.2	study_admin	study.study_id	1.8.0	study_admin	study.study_id
1.7.2	study_admin	adult_or_childhood_study	1.8.0	study_admin	adult_or_childhood_study
1.7.2	study_admin	data_types	1.8.0	study_admin	data_types
1.7.2	study_admin	file_types_and_format	1.8.0	study_admin	file_types_and_format
1.7.2	study_admin	id	1.8.0	study_admin	id
1.7.2	study_admin	number_of_participants	1.8.0	study_admin	number_of_participants
1.7.2	study_admin	number_of_samples	1.8.0	study_admin	number_of_samples
1.7.2	study_admin	organism_species	1.8.0	study_admin	organism_species
1.7.2	study_admin	study_admin_id	1.8.0	study_admin	study_admin_id
1.7.2	study_arm	study.study_id	1.8.0	study_arm	study.study_id
1.7.2	study_arm	clinical_trial_arm			
1.7.2	study_arm	clinical_trial_identifier	1.8.0	study_arm	clinical_trial_identifier
1.7.2	study_arm	clinical_trial_repository	1.8.0	study_arm	clinical_trial_repository
1.7.2	study_arm	id	1.8.0	study_arm	id
			1.8.0	study_arm	study_arm_description
1.7.2	study_arm	study_arm_id	1.8.0	study_arm	study_arm_id
1.7.2	study_funding	study.study_id	1.8.0	study_funding	study.study_id
1.7.2	study_funding	funding_agency	1.8.0	study_funding	funding_agency
1.7.2	study_funding	funding_source_program_name	1.8.0	study_funding	funding_source_program_name
1.7.2	study_funding	grant_id	1.8.0	study_funding	grant_id
1.7.2	study_funding	id	1.8.0	study_funding	id
1.7.2	study_funding	study_funding_id	1.8.0	study_funding	study_funding_id
1.7.2	study_personnel	study.study_id	1.8.0	study_personnel	study.study_id
1.7.2	study_personnel	email_address	1.8.0	study_personnel	email_address
1.7.2	study_personnel	id	1.8.0	study_personnel	id
1.7.2	study_personnel	institution	1.8.0	study_personnel	institution
1.7.2	study_personnel	personnel_name	1.8.0	study_personnel	personnel_name
1.7.2	study_personnel	personnel_type	1.8.0	study_personnel	personnel_type
1.7.2	study_personnel	study_personnel_id	1.8.0	study_personnel	study_personnel_id
1.7.2	publication	study.study_id	1.8.0	publication	study.study_id
1.7.2	publication	id	1.8.0	publication	id
1.7.2	publication	publication_id	1.8.0	publication	publication_id
1.7.2	publication	pubmed_id	1.8.0	publication	pubmed_id
1.7.2	participant	study.study_id	1.8.0	participant	study.study_id
1.7.2	participant	alternate_participant_id	1.8.0	synonym	synonym_id
1.7.2	participant	participant_id	1.8.0	synonym	participant.participant_id
1.7.2	participant	ethnicity	1.8.0	participant	race
1.7.2	participant	id	1.8.0	participant	id
1.7.2	participant	participant_id	1.8.0	participant	participant_id
1.7.2	participant	race	1.8.0	participant	race
1.7.2	participant	sex_at_birth	1.8.0	participant	sex_at_birth
1.7.2	family_relationship	participant.participant_id	1.8.0	family_relationship	participant.participant_id
1.7.2	family_relationship	family_id	1.8.0	family_relationship	family_id
1.7.2	family_relationship	family_relationship_id	1.8.0	family_relationship	family_relationship_id
1.7.2	family_relationship	id	1.8.0	family_relationship	id
1.7.2	family_relationship	related_to_participant_id	1.8.0	family_relationship	related_to_participant_id
1.7.2	family_relationship	relationship	1.8.0	family_relationship	relationship
1.7.2	diagnosis	participant.participant_id	1.8.0	diagnosis	participant.participant_id
1.7.2	diagnosis	age_at_diagnosis	1.8.0	diagnosis	age_at_diagnosis
1.7.2	diagnosis	age_at_last_known_disease_status	1.8.0	diagnosis	age_at_last_known_disease_status
1.7.2	diagnosis	age_at_recurrence	1.8.0	diagnosis	age_at_recurrence
1.7.2	diagnosis	anatomic_site	1.8.0	diagnosis	anatomic_site
1.7.2	diagnosis	diagnosis_basis	1.8.0	diagnosis	diagnosis_basis
1.7.2	diagnosis	diagnosis_classification	1.8.0	diagnosis	diagnosis
1.7.2	diagnosis	diagnosis_classification_system	1.8.0	diagnosis	diagnosis_classification_system
1.7.2	diagnosis	diagnosis_comment	1.8.0	diagnosis	diagnosis_comment
