repo https://github.com/CBIIT/ccdi-model
commit 8ef6370
node	property	value_or_TYPE
cell_line	cell_line_id	STRING
cell_line	id	STRING
cell_line	source	STRING
clinical_measure_file	acl	STRING
clinical_measure_file	authz	STRING
clinical_measure_file	checksum_algorithm	STRING
clinical_measure_file	checksum_value	STRING
clinical_measure_file	clinical_measure_file_id	STRING
clinical_measure_file	crdc_id	STRING
clinical_measure_file	dcf_indexd_guid	STRING
clinical_measure_file	file_access	Controlled
clinical_measure_file	file_access	Open
clinical_measure_file	file_description	STRING
clinical_measure_file	file_mapping_level	Participant
clinical_measure_file	file_mapping_level	Sample
clinical_measure_file	file_mapping_level	Study
clinical_measure_file	file_name	STRING
clinical_measure_file	file_size	INTEGER
clinical_measure_file	file_type	bai
clinical_measure_file	file_type	bam
clinical_measure_file	file_type	bam_index
clinical_measure_file	file_type	bcf
clinical_measure_file	file_type	bed
clinical_measure_file	file_type	bif
clinical_measure_file	file_type	bw
clinical_measure_file	file_type	cns
clinical_measure_file	file_type	crai
clinical_measure_file	file_type	cram
clinical_measure_file	file_type	cram_index
clinical_measure_file	file_type	csi
clinical_measure_file	file_type	csv
clinical_measure_file	file_type	dicom
clinical_measure_file	file_type	dict
clinical_measure_file	file_type	docx
clinical_measure_file	file_type	fasta
clinical_measure_file	file_type	fastq
clinical_measure_file	file_type	gvcf
clinical_measure_file	file_type	hdf5
clinical_measure_file	file_type	html
clinical_measure_file	file_type	idat
clinical_measure_file	file_type	jpg
clinical_measure_file	file_type	json
clinical_measure_file	file_type	maf
clinical_measure_file	file_type	mrxs
clinical_measure_file	file_type	ndpi
clinical_measure_file	file_type	nifti
clinical_measure_file	file_type	pdf
clinical_measure_file	file_type	ped
clinical_measure_file	file_type	png
clinical_measure_file	file_type	quant.sf
clinical_measure_file	file_type	rda
clinical_measure_file	file_type	rdata
clinical_measure_file	file_type	rds
clinical_measure_file	file_type	sas7bdat
clinical_measure_file	file_type	scn
clinical_measure_file	file_type	seg
clinical_measure_file	file_type	svg
clinical_measure_file	file_type	svs
clinical_measure_file	file_type	tar
clinical_measure_file	file_type	tbi
clinical_measure_file	file_type	tif
clinical_measure_file	file_type	tiff
clinical_measure_file	file_type	tsv
clinical_measure_file	file_type	txt
clinical_measure_file	file_type	vcf
clinical_measure_file	file_type	vcf_index
clinical_measure_file	file_type	vms
clinical_measure_file	file_type	vmu
clinical_measure_file	file_type	xls
clinical_measure_file	file_type	xlsx
clinical_measure_file	file_type	xml
clinical_measure_file	file_url	STRING
clinical_measure_file	id	STRING
clinical_measure_file	md5sum	STRING
clinical_measure_file	participant_list	STRING
consent_group	consent_group_id	STRING
consent_group	consent_group_name	STRING
consent_group	consent_group_number	STRING
consent_group	consent_group_suffix	STRING
consent_group	id	STRING
cytogenomic_file	acl	STRING
cytogenomic_file	authz	STRING
cytogenomic_file	crdc_id	STRING
cytogenomic_file	cytogenomic_file_id	STRING
cytogenomic_file	cytogenomic_platform	STRING
cytogenomic_file	dcf_indexd_guid	STRING
cytogenomic_file	file_access	Controlled
cytogenomic_file	file_access	Open
cytogenomic_file	file_description	STRING
cytogenomic_file	file_mapping_level	Participant
cytogenomic_file	file_mapping_level	Sample
cytogenomic_file	file_mapping_level	Study
cytogenomic_file	file_name	STRING
cytogenomic_file	file_size	INTEGER
cytogenomic_file	file_type	bai
cytogenomic_file	file_type	bam
cytogenomic_file	file_type	bam_index
cytogenomic_file	file_type	bcf
cytogenomic_file	file_type	bed
cytogenomic_file	file_type	bif
cytogenomic_file	file_type	bw
cytogenomic_file	file_type	cns
cytogenomic_file	file_type	crai
cytogenomic_file	file_type	cram
cytogenomic_file	file_type	cram_index
cytogenomic_file	file_type	csi
cytogenomic_file	file_type	csv
cytogenomic_file	file_type	dicom
cytogenomic_file	file_type	dict
cytogenomic_file	file_type	docx
cytogenomic_file	file_type	fasta
cytogenomic_file	file_type	fastq
